id,address,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source"
23,"Atolye Venue & Bar, Brooklyn, NY",40.722203,-73.955109,0.78,street_center,"Berry St",,"Brooklyn, NY 11249",,"Berry St",,,Brooklyn,NY,"Kings County",11249,US,"TIGER/Line® dataset from the US Census Bureau"
25,"Amadeus Nightclub, Queens, NY",40.689174,-73.995938,0.78,street_center,"Amity St",,"Brooklyn, NY 11201",,"Amity St",,,Brooklyn,NY,"Kings County",11201,US,"TIGER/Line® dataset from the US Census Bureau"
26,"Secret Room NYC, New York, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
27,"Madison Avenue Presbyterian, 921 Madison Avenue, New York, NY, USA, New York, NY",40.772728,-73.964589,1,rooftop,"921 Madison Ave",,"New York, NY 10021",921,"Madison Ave",,,"New York",NY,"New York County",10021,US,"City of New York"
28,"The Smith Opera House, Geneva, NY",42.97867,-76.935024,0.78,street_center,"Smith Rd",,"Phelps, NY 14532",,"Smith Rd",,,Phelps,NY,"Seneca County",14532,US,"TIGER/Line® dataset from the US Census Bureau"
29,"VIRGO New York, New York, NY",40.703125,-74.010852,1,street_center,"New York Plz",,"New York, NY 10004",,"New York Plz",,,"New York",NY,"New York County",10004,US,"TIGER/Line® dataset from the US Census Bureau"
30,"littlefield, Brooklyn, NY",40.703302,-73.980106,0.88,street_center,"Little St",,"Brooklyn, NY 11201",,"Little St",,,Brooklyn,NY,"Kings County",11201,US,"TIGER/Line® dataset from the US Census Bureau"
31,"1819 Utica Ave, Brooklyn, NY",40.627753,-73.927614,1,rooftop,"1819 Utica Ave",,"Brooklyn, NY 11234",1819,"Utica Ave",,,Brooklyn,NY,"Kings County",11234,US,"City of New York"
32,"Skinny's Cantina On The Hudson, New York, NY",40.722715,-74.008151,0.93,street_center,"Hudson St",,"New York, NY 10013",,"Hudson St",,,"New York",NY,"New York County",10013,US,"OpenStreetMap Contributors"
33,"First Presbyterian Church, New York, NY",40.677782,-73.990172,0.97,street_center,"1st St",,"Brooklyn, NY 11231",,"1st St",,,Brooklyn,NY,"Kings County",11231,US,"TIGER/Line® dataset from the US Census Bureau"
34,"Joyface, New York, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
35,"Buffalo's Mohawk Place, Buffalo, NY",42.856903,-78.83033,1,street_center,"Buffalo St",,"Buffalo, NY 14220",,"Buffalo St",,,Buffalo,NY,"Erie County",14220,US,"TIGER/Line® dataset from the US Census Bureau"
36,"Polygon Brooklyn, Brooklyn, NY",40.637626,-73.943604,0.93,street_center,"Brooklyn Rd",,"Brooklyn, NY 11210",,"Brooklyn Rd",,,Brooklyn,NY,"Kings County",11210,US,"TIGER/Line® dataset from the US Census Bureau"
37,"Elsewhere, Brooklyn, NY",40.694481,-73.989319,1,place,,,"Brooklyn, NY 11201",,,,,Brooklyn,NY,"Kings County",11201,US,"TIGER/Line® dataset from the US Census Bureau"
38,"Elsewhere, Brooklyn, NY",40.694481,-73.989319,1,place,,,"Brooklyn, NY 11201",,,,,Brooklyn,NY,"Kings County",11201,US,"TIGER/Line® dataset from the US Census Bureau"
39,"Bentley's, Brooklyn, NY",40.694481,-73.989319,1,place,,,"Brooklyn, NY 11201",,,,,Brooklyn,NY,"Kings County",11201,US,"TIGER/Line® dataset from the US Census Bureau"
40,"Lark Hall, Albany, NY",42.660332,-73.747645,0.93,street_center,"Lark Dr",,"Albany, NY 12210",,"Lark Dr",,,Albany,NY,"Albany County",12210,US,"TIGER/Line® dataset from the US Census Bureau"
41,"Elsewhere - Zone One, Brooklyn, NY",40.586726,-73.930494,0.85,street_center,"Plumb 1st St",,"Brooklyn, NY 11235",,"Plumb 1st St",,,Brooklyn,NY,"Kings County",11235,US,"TIGER/Line® dataset from the US Census Bureau"
42,"The Club by Mr. Purple, New York, NY",40.583906,-73.973176,0.71,street_center,"Colby Ct",,"Brooklyn, NY 11223",,"Colby Ct",,,Brooklyn,NY,"Kings County",11223,US,"TIGER/Line® dataset from the US Census Bureau"
43,"DROM, New York, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
44,"Sugar Mouse NYC, New York, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
45,"Elsewhere - The Hall, Brooklyn, NY",40.69232,-73.965688,0.93,street_center,"Hall St",,"Brooklyn, NY 11205",,"Hall St",,,Brooklyn,NY,"Kings County",11205,US,"TIGER/Line® dataset from the US Census Bureau"
46,"Cafe Wha?, New York, NY",40.714265,-74.01506,0.83,street_center,"Vesey St",,"New York, NY 10285",,"Vesey St",,,"New York",NY,"New York County",10285,US,"TIGER/Line® dataset from the US Census Bureau"
47,"Brooklyn Museum, Brooklyn, NY",40.637626,-73.943604,0.93,street_center,"Brooklyn Rd",,"Brooklyn, NY 11210",,"Brooklyn Rd",,,Brooklyn,NY,"Kings County",11210,US,"TIGER/Line® dataset from the US Census Bureau"
48,"Atolye Venue & Bar, Brooklyn, NY",40.722203,-73.955109,0.78,street_center,"Berry St",,"Brooklyn, NY 11249",,"Berry St",,,Brooklyn,NY,"Kings County",11249,US,"TIGER/Line® dataset from the US Census Bureau"
49,"Amazura, Queens, NY",40.745263,-73.711159,1,place,,,"Queens, NY 11004",,,,,Queens,NY,"Queens County",11004,US,"TIGER/Line® dataset from the US Census Bureau"
50,"No Fun, Troy, NY",42.794113,-73.663218,0.83,street_center,"New Turnpike Rd",,"Troy, NY 12182",,"New Turnpike Rd",,,Troy,NY,"Rensselaer County",12182,US,"TIGER/Line® dataset from the US Census Bureau"
51,"Elsewhere - Zone One, Brooklyn, NY",40.586726,-73.930494,0.85,street_center,"Plumb 1st St",,"Brooklyn, NY 11235",,"Plumb 1st St",,,Brooklyn,NY,"Kings County",11235,US,"TIGER/Line® dataset from the US Census Bureau"
52,"The Brooklyn Monarch, Brooklyn, NY",40.637626,-73.943604,0.93,street_center,"Brooklyn Rd",,"Brooklyn, NY 11210",,"Brooklyn Rd",,,Brooklyn,NY,"Kings County",11210,US,"TIGER/Line® dataset from the US Census Bureau"
53,"The Joyce Public House, New York, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
54,"Schomburg Center for Research in Black Culture, New York, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
55,"Kiss Entertainment - Best Nightclub & DJs - Queens NY, Queens, NY",40.599301,-73.749516,0.8,street_center,"New Haven Ave",,"Far Rockaway, NY 11691",,"New Haven Ave",,,"Far Rockaway",NY,"Queens County",11691,US,"TIGER/Line® dataset from the US Census Bureau"
56,"The National Arts Club, New York, NY",40.604438,-73.908967,0.72,street_center,"National Dr",,"Brooklyn, NY 11234",,"National Dr",,,Brooklyn,NY,"Kings County",11234,US,"TIGER/Line® dataset from the US Census Bureau"
57,"Music For A While, New York, NY",40.714477,-73.999195,0.85,street_center,"Mosco St",,"New York, NY 10013",,"Mosco St",,,"New York",NY,"New York County",10013,US,"TIGER/Line® dataset from the US Census Bureau"
58,"Music For A While, New York, NY",40.714477,-73.999195,0.85,street_center,"Mosco St",,"New York, NY 10013",,"Mosco St",,,"New York",NY,"New York County",10013,US,"TIGER/Line® dataset from the US Census Bureau"
59,"Rye Presbyterian Church, Rye, NY",40.967645,-73.684263,0.93,street_center,"Rye Ln",,"Rye, NY 10580",,"Rye Ln",,,Rye,NY,"Westchester County",10580,US,"TIGER/Line® dataset from the US Census Bureau"
60,"DRAMMA TIMES SQUARE, New York, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
61,"Elsewhere - Zone One, Brooklyn, NY",40.586726,-73.930494,0.85,street_center,"Plumb 1st St",,"Brooklyn, NY 11235",,"Plumb 1st St",,,Brooklyn,NY,"Kings County",11235,US,"TIGER/Line® dataset from the US Census Bureau"
62,"Lark Hall, Albany, NY",42.660332,-73.747645,0.93,street_center,"Lark Dr",,"Albany, NY 12210",,"Lark Dr",,,Albany,NY,"Albany County",12210,US,"TIGER/Line® dataset from the US Census Bureau"
63,"1055 E 45th St, Brooklyn, NY",40.635835,-73.933411,1,range_interpolation,"1055 E 45th St",,"Brooklyn, NY 11203",1055,"E 45th St",,,Brooklyn,NY,"Kings County",11203,US,"TIGER/Line® from the US Census Bureau"
64,"617 W 46th St, New York, NY",40.763884,-73.997389,1,rooftop,"617 W 46th St",,"New York, NY 10036",617,"W 46th St",,,"New York",NY,"New York County",10036,US,"City of New York"
65,"Brooklyn Army Terminal, Brooklyn, NY",40.700371,-73.989439,0.93,street_center,"Brooklyn Brg",,"Brooklyn, NY 11201",,"Brooklyn Brg",,,Brooklyn,NY,"Kings County",11201,US,"OpenStreetMap Contributors"
66,"Elsewhere - Zone One, Brooklyn, NY",40.586726,-73.930494,0.85,street_center,"Plumb 1st St",,"Brooklyn, NY 11235",,"Plumb 1st St",,,Brooklyn,NY,"Kings County",11235,US,"TIGER/Line® dataset from the US Census Bureau"
67,"Elsewhere, Brooklyn, NY",40.694481,-73.989319,1,place,,,"Brooklyn, NY 11201",,,,,Brooklyn,NY,"Kings County",11201,US,"TIGER/Line® dataset from the US Census Bureau"
68,"Polygon Brooklyn, Brooklyn, NY",40.637626,-73.943604,0.93,street_center,"Brooklyn Rd",,"Brooklyn, NY 11210",,"Brooklyn Rd",,,Brooklyn,NY,"Kings County",11210,US,"TIGER/Line® dataset from the US Census Bureau"
69,"littlefield, Brooklyn, NY",40.703302,-73.980106,0.88,street_center,"Little St",,"Brooklyn, NY 11201",,"Little St",,,Brooklyn,NY,"Kings County",11201,US,"TIGER/Line® dataset from the US Census Bureau"
70,"The RnB room at Kiss Lounge (queens), Queens, NY",40.745263,-73.711159,1,place,,,"Queens, NY 11004",,,,,Queens,NY,"Queens County",11004,US,"TIGER/Line® dataset from the US Census Bureau"
71,"POLYGON BROOKLYN, Brooklyn, NY",40.637626,-73.943604,0.93,street_center,"Brooklyn Rd",,"Brooklyn, NY 11210",,"Brooklyn Rd",,,Brooklyn,NY,"Kings County",11210,US,"TIGER/Line® dataset from the US Census Bureau"
72,"Refuge, Brooklyn, NY",40.694481,-73.989319,1,place,,,"Brooklyn, NY 11201",,,,,Brooklyn,NY,"Kings County",11201,US,"TIGER/Line® dataset from the US Census Bureau"
73,"Bloomingdale School of Music, New York, NY",40.714477,-73.999195,0.85,street_center,"Mosco St",,"New York, NY 10013",,"Mosco St",,,"New York",NY,"New York County",10013,US,"TIGER/Line® dataset from the US Census Bureau"
74,"Adler Hall @ The New York Society For Ethical Culture, New York, NY",40.684913,-73.871997,0.73,street_center,"Adler Pl",,"Brooklyn, NY 11208",,"Adler Pl",,,Brooklyn,NY,"Kings County",11208,US,"TIGER/Line® dataset from the US Census Bureau"
75,"48 W 21st St, New York, NY",40.741146,-73.992853,1,rooftop,"48 W 21st St",,"New York, NY 10010",48,"W 21st St",,,"New York",NY,"New York County",10010,US,"City of New York"
76,"Sounds Of Brazil, New York, NY",40.699785,-73.983341,0.84,street_center,"Sands St",,"Brooklyn, NY 11201",,"Sands St",,,Brooklyn,NY,"Kings County",11201,US,"TIGER/Line® dataset from the US Census Bureau"
77,"Lark Hall, Albany, NY",42.660332,-73.747645,0.93,street_center,"Lark Dr",,"Albany, NY 12210",,"Lark Dr",,,Albany,NY,"Albany County",12210,US,"TIGER/Line® dataset from the US Census Bureau"
78,"Three West Club, New York, NY",40.726898,-73.958929,0.85,range_interpolation,"3 West St",,"Brooklyn, NY 11222",3,"West St",,,Brooklyn,NY,"Kings County",11222,US,"TIGER/Line® from the US Census Bureau"
79,"Jouvay Night Club, Queens, NY",40.588306,-73.81343,0.83,street_center,"Gull Ct",,"Far Rockaway, NY 11693",,"Gull Ct",,,"Far Rockaway",NY,"Queens County",11693,US,"TIGER/Line® dataset from the US Census Bureau"
80,"Vetro Restaurant & Lounge, Queens, NY",40.782364,-73.944199,0.86,street_center,"Fdr Dr",,"New York, NY 10128",,"Fdr Dr",,,"New York",NY,"New York County",10128,US,"OpenStreetMap Contributors"
81,"The Smith Opera House, Geneva, NY",42.97867,-76.935024,0.78,street_center,"Smith Rd",,"Phelps, NY 14532",,"Smith Rd",,,Phelps,NY,"Seneca County",14532,US,"TIGER/Line® dataset from the US Census Bureau"
82,"1200 Broadway, New York, NY",40.746068,-73.98841,1,rooftop,"1200 Broadway",,"New York, NY 10001",1200,Broadway,,,"New York",NY,"New York County",10001,US,"City of New York"
83,"SOB's, New York, NY",40.586225,-73.925376,0.66,street_center,"Seba Ave",,"Brooklyn, NY 11229",,"Seba Ave",,,Brooklyn,NY,"Kings County",11229,US,"TIGER/Line® dataset from the US Census Bureau"
84,"Refuge, Brooklyn, NY",40.694481,-73.989319,1,place,,,"Brooklyn, NY 11201",,,,,Brooklyn,NY,"Kings County",11201,US,"TIGER/Line® dataset from the US Census Bureau"
85,"79 Alexander Ave, The Bronx, NY",40.806383,-73.928058,1,rooftop,"79 Alexander Ave",,"Bronx, NY 10454",79,"Alexander Ave",,,Bronx,NY,"Bronx County",10454,US,"City of New York"
86,"Trinity School, New York, NY",40.709192,-74.012011,0.93,street_center,"Trinity Pl",,"New York, NY 10006",,"Trinity Pl",,,"New York",NY,"New York County",10006,US,"TIGER/Line® dataset from the US Census Bureau"
87,"Isola Brooklyn, Brooklyn, NY",40.637626,-73.943604,0.78,street_center,"Brooklyn Rd",,"Brooklyn, NY 11210",,"Brooklyn Rd",,,Brooklyn,NY,"Kings County",11210,US,"TIGER/Line® dataset from the US Census Bureau"
88,"Jouvay Night Club, Queens, NY",40.588306,-73.81343,0.83,street_center,"Gull Ct",,"Far Rockaway, NY 11693",,"Gull Ct",,,"Far Rockaway",NY,"Queens County",11693,US,"TIGER/Line® dataset from the US Census Bureau"
89,"St. Paul & St. Andrew United Methodist Church, New York, NY",40.650841,-73.961918,0.89,street_center,"St Pauls Ct",,"Brooklyn, NY 11226",,"St Pauls Ct",,,Brooklyn,NY,"Kings County",11226,US,"TIGER/Line® dataset from the US Census Bureau"
90,"The 443 Social Club & Lounge, Syracuse, NY",43.052915,-76.18644,0.59,nearest_rooftop_match,"309 School St",,"Syracuse, NY 13204",309,"School St",,,Syracuse,NY,"Onondaga County",13204,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)"
91,"Brooklyn Conservatory of Music, Brooklyn, NY",40.637626,-73.943604,0.93,street_center,"Brooklyn Rd",,"Brooklyn, NY 11210",,"Brooklyn Rd",,,Brooklyn,NY,"Kings County",11210,US,"TIGER/Line® dataset from the US Census Bureau"
92,"Refuge, Brooklyn, NY",40.694481,-73.989319,1,place,,,"Brooklyn, NY 11201",,,,,Brooklyn,NY,"Kings County",11201,US,"TIGER/Line® dataset from the US Census Bureau"
93,"Agenda Restaurant, Queens, NY",40.745263,-73.711159,1,place,,,"Queens, NY 11004",,,,,Queens,NY,"Queens County",11004,US,"TIGER/Line® dataset from the US Census Bureau"
94,"Agenda Restaurant, Queens, NY",40.745263,-73.711159,1,place,,,"Queens, NY 11004",,,,,Queens,NY,"Queens County",11004,US,"TIGER/Line® dataset from the US Census Bureau"
95,"Amadeus Nightclub, Queens, NY",40.689174,-73.995938,0.78,street_center,"Amity St",,"Brooklyn, NY 11201",,"Amity St",,,Brooklyn,NY,"Kings County",11201,US,"TIGER/Line® dataset from the US Census Bureau"
96,"Bentley's, Brooklyn, NY",40.694481,-73.989319,1,place,,,"Brooklyn, NY 11201",,,,,Brooklyn,NY,"Kings County",11201,US,"TIGER/Line® dataset from the US Census Bureau"
97,"SOUTH BEACH NEW YORK , Olympia Lounge and Club, Queens, NY",40.683113,-73.726751,1,street_center,"Southern State Pkwy",,"Rosedale, NY 11422",,"Southern State Pkwy",,,Rosedale,NY,"Queens County",11422,US,"OpenStreetMap Contributors"
98,"Elsewhere - The Hall, Brooklyn, NY",40.69232,-73.965688,0.93,street_center,"Hall St",,"Brooklyn, NY 11205",,"Hall St",,,Brooklyn,NY,"Kings County",11205,US,"TIGER/Line® dataset from the US Census Bureau"
99,"Lark Hall, Albany, NY",42.660332,-73.747645,0.93,street_center,"Lark Dr",,"Albany, NY 12210",,"Lark Dr",,,Albany,NY,"Albany County",12210,US,"TIGER/Line® dataset from the US Census Bureau"
100,"The Crowne Plaza - Desmond Hotel, Albany, NY",42.645766,-73.774878,0.93,street_center,"Crown Ter",,"Albany, NY 12209",,"Crown Ter",,,Albany,NY,"Albany County",12209,US,"TIGER/Line® dataset from the US Census Bureau"
101,"BRIC, Brooklyn, NY",40.694481,-73.989319,1,place,,,"Brooklyn, NY 11201",,,,,Brooklyn,NY,"Kings County",11201,US,"TIGER/Line® dataset from the US Census Bureau"
102,"26 Bridge St, Brooklyn, NY",40.703964,-73.984737,1,rooftop,"26 Bridge St",,"Brooklyn, NY 11201",26,"Bridge St",,,Brooklyn,NY,"Kings County",11201,US,"City of New York"
103,"Architects & Designers Building (A&D Building), New York, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
104,"10 River Ter., New York, NY",40.716099,-74.016293,1,rooftop,"10 River Ter",,"New York, NY 10282",10,"River Ter",,,"New York",NY,"New York County",10282,US,"City of New York"
105,"Hyatt Regency Rochester, Rochester, NY",43.151539,-77.530131,0.9,street_center,"Wyatt Dr",,"Rochester, NY 14610",,"Wyatt Dr",,,Rochester,NY,"Monroe County",14610,US,"TIGER/Line® dataset from the US Census Bureau"
106,"Carribean Flavors, Queensbury, NY",43.340954,-73.685911,1,place,,,"Queensbury, NY 12804",,,,,Queensbury,NY,"Warren County",12804,US,"TIGER/Line® dataset from the US Census Bureau"
107,"Convene, New York, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
108,"Houghton Hall Arts Community, New York, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
109,"Omni Berkshire Place, New York, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
110,"Convene, New York, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
111,"Kol Yaakov Hall, Brooklyn, NY",40.68616,-73.872336,0.8,street_center,"Kiely Pl",,"Brooklyn, NY 11208",,"Kiely Pl",,,Brooklyn,NY,"Kings County",11208,US,"TIGER/Line® dataset from the US Census Bureau"
112,"Nazareth University, Rochester, NY",43.15957,-77.597082,0.9,street_center,"University Ave",,"Rochester, NY 14605",,"University Ave",,,Rochester,NY,"Monroe County",14605,US,"TIGER/Line® dataset from the US Census Bureau"
113,"Civic Hall, New York, NY",40.769153,-73.689995,0.43,street_center,"S Svc Rd",,"New Hyde Park, NY 11040",,"S Svc Rd",,,"New Hyde Park",NY,"Nassau County",11040,US,"TIGER/Line® dataset from the US Census Bureau"
114,"Fordham University at Lincoln Center, New York, NY",40.771212,-73.981727,1,street_center,"Lincoln Center Plz",,"New York, NY 10023",,"Lincoln Center Plz",,,"New York",NY,"New York County",10023,US,"TIGER/Line® dataset from the US Census Bureau"
116,"n/a, na, NY",42.913397,-75.596272,1,state,,,NY,,,,,,NY,,,US,"TIGER/Line® dataset from the US Census Bureau"
117,"Convene, New York, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
118,"Metropolitan Club, New York, NY",40.713004,-73.876593,0.79,street_center,"Metropolitan Ave",,"Middle Village, NY 11379",,"Metropolitan Ave",,,"Middle Village",NY,"Queens County",11379,US,"TIGER/Line® dataset from the US Census Bureau"
119,"Marriott Melville Long Island, Melville, NY",40.785471,-73.444808,1,street_center,I-495,,"Melville, NY 11747",,I-495,,,Melville,NY,"Suffolk County",11747,US,"OpenStreetMap Contributors"
120,"Columbia University Lerner Hall, New York, NY",40.718059,-73.979726,0.93,street_center,"Columbia St",,"New York, NY 10002",,"Columbia St",,,"New York",NY,"New York County",10002,US,"TIGER/Line® dataset from the US Census Bureau"
121,"Westchester County Center, White Plains, NY",41.031397,-73.769626,1,place,,,"White Plains, NY 10601",,,,,"White Plains",NY,"Westchester County",10601,US,"TIGER/Line® dataset from the US Census Bureau"
122,"etc.venues 601 Lexington Avenue, New York, NY",40.758412,-73.970505,1,rooftop,"601 Lexington Ave",,"New York, NY 10022",601,"Lexington Ave",,,"New York",NY,"New York County",10022,US,"City of New York"
123,"For venue details reach us at: info@kogniora.com, New York, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
124,"Hofstra University, Hempstead, NY",40.717702,-73.601657,0.88,street_center,"Hofstra Blvd",,"Hempstead, NY 11549",,"Hofstra Blvd",,,Hempstead,NY,"Nassau County",11549,US,"TIGER/Line® dataset from the US Census Bureau"
125,"The Mezzanine Event Space NYC - Bond Gather, New York, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
126,"285 Madison Ave 22nd floor, New York, NY",40.751644,-73.979978,1,rooftop,"285 Madison Ave","Fl 22","New York, NY 10017",285,"Madison Ave",Fl,22,"New York",NY,"New York County",10017,US,"City of New York"
127,"Cornell Tech, New York, NY",40.731455,-74.002055,0.88,street_center,"Cornelia St",,"New York, NY 10014",,"Cornelia St",,,"New York",NY,"New York County",10014,US,"TIGER/Line® dataset from the US Census Bureau"
